issuer_id,sector,year,from_rating,to_rating,upgraded,downgraded,defaulted,notches_moved,from_score,to_score,calculated_notches_moved,rating_transition_type
I00033,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00034,Financials,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00035,Industrials,2015,CCC,D,0,0,1,1,1,0,-1,default
I00036,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00037,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00038,Telecom,2015,A,A,0,0,0,0,5,5,0,unchanged
I00039,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00040,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00041,Energy,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00042,Financials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00043,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00044,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00045,Technology,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00046,Energy,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00047,Energy,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00048,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00049,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00050,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00051,Financials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00052,Consumer,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00053,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00054,Industrials,2015,BBB,B,0,1,0,2,4,2,-2,downgrade
I00055,Financials,2015,AAA,A,0,1,0,2,7,5,-2,downgrade
I00056,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00057,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00058,Real_Estate,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00059,Consumer,2015,B,B,0,0,0,0,2,2,0,unchanged
I00060,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00061,Energy,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00062,Real_Estate,2015,B,B,0,0,0,0,2,2,0,unchanged
I00063,Healthcare,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00064,Healthcare,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00065,Energy,2015,B,CCC,0,1,0,1,2,1,-1,downgrade
I00066,Industrials,2015,CCC,B,1,0,0,-1,1,2,1,upgrade
I00067,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00068,Technology,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00069,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00070,Utilities,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00071,Real_Estate,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00072,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00073,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00074,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00075,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00076,Energy,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00077,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00078,Utilities,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00079,Retail,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00080,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00081,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00082,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00083,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00084,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00085,Industrials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00086,Consumer,2015,AA,A,0,1,0,1,6,5,-1,downgrade
I00087,Technology,2015,CCC,D,0,0,1,1,1,0,-1,default
I00088,Financials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00089,Retail,2015,B,D,0,0,1,2,2,0,-2,default
I00090,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00091,Industrials,2015,BBB,B,0,1,0,2,4,2,-2,downgrade
I00092,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00093,Energy,2015,BBB,B,0,1,0,2,4,2,-2,downgrade
I00094,Retail,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00095,Utilities,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00096,Industrials,2015,AA,A,0,1,0,1,6,5,-1,downgrade
I00097,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00098,Energy,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00099,Technology,2015,A,A,0,0,0,0,5,5,0,unchanged
I00100,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00101,Retail,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00102,Utilities,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00103,Consumer,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00104,Consumer,2015,BBB,B,0,1,0,2,4,2,-2,downgrade
I00105,Healthcare,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00106,Financials,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00107,Retail,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00108,Telecom,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00109,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00110,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00111,Industrials,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00112,Energy,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00113,Technology,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00114,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00115,Technology,2015,A,B,0,1,0,3,5,2,-3,downgrade
I00116,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00117,Telecom,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00118,Industrials,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00119,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00120,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00121,Industrials,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00122,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00123,Healthcare,2015,A,A,0,0,0,0,5,5,0,unchanged
I00124,Industrials,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00125,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00126,Technology,2015,A,A,0,0,0,0,5,5,0,unchanged
I00127,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00128,Healthcare,2015,BB,CCC,0,1,0,2,3,1,-2,downgrade
I00129,Telecom,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00130,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00131,Real_Estate,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00132,Retail,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00133,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00134,Healthcare,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00135,Technology,2015,A,A,0,0,0,0,5,5,0,unchanged
I00136,Consumer,2015,B,B,0,0,0,0,2,2,0,unchanged
I00137,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00138,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00139,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00140,Consumer,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00141,Energy,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00142,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00143,Retail,2015,B,B,0,0,0,0,2,2,0,unchanged
I00144,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00145,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00146,Technology,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00147,Real_Estate,2015,AA,A,0,1,0,1,6,5,-1,downgrade
I00148,Retail,2015,A,A,0,0,0,0,5,5,0,unchanged
I00149,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00150,Retail,2015,B,BB,1,0,0,-1,2,3,1,upgrade
I00151,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00152,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00153,Financials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00154,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00155,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00156,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00157,Retail,2015,A,A,0,0,0,0,5,5,0,unchanged
I00158,Financials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00159,Consumer,2015,A,A,0,0,0,0,5,5,0,unchanged
I00160,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00161,Technology,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00162,Real_Estate,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00163,Technology,2015,CCC,D,0,0,1,1,1,0,-1,default
I00164,Consumer,2015,A,A,0,0,0,0,5,5,0,unchanged
I00165,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00166,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00167,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00168,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00169,Technology,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00170,Industrials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00171,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00172,Technology,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00173,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00174,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00175,Technology,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00176,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00177,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00178,Telecom,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00179,Consumer,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00180,Energy,2015,B,D,0,0,1,2,2,0,-2,default
I00181,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00182,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00183,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00184,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00185,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00186,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00187,Utilities,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00188,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00189,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00190,Industrials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00191,Technology,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00192,Technology,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00193,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00194,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00195,Healthcare,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00196,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00197,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00198,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00199,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00200,Retail,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00201,Telecom,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00202,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00203,Financials,2015,AA,A,0,1,0,1,6,5,-1,downgrade
I00204,Energy,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00205,Healthcare,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00206,Industrials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00207,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00208,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00209,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00210,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00211,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00212,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00213,Retail,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00214,Energy,2015,A,A,0,0,0,0,5,5,0,unchanged
I00215,Energy,2015,A,A,0,0,0,0,5,5,0,unchanged
I00216,Technology,2015,A,A,0,0,0,0,5,5,0,unchanged
I00217,Consumer,2015,B,B,0,0,0,0,2,2,0,unchanged
I00218,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00219,Telecom,2015,A,A,0,0,0,0,5,5,0,unchanged
I00220,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00221,Retail,2015,B,B,0,0,0,0,2,2,0,unchanged
I00222,Financials,2015,CCC,D,0,0,1,1,1,0,-1,default
I00223,Financials,2015,CCC,D,0,0,1,1,1,0,-1,default
I00224,Financials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00225,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00226,Industrials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00227,Technology,2015,B,B,0,0,0,0,2,2,0,unchanged
I00228,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00229,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00230,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00231,Retail,2015,A,A,0,0,0,0,5,5,0,unchanged
I00232,Industrials,2015,B,CCC,0,1,0,1,2,1,-1,downgrade
I00233,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00234,Real_Estate,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00235,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00236,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00237,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00238,Healthcare,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00239,Industrials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00240,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00241,Healthcare,2015,A,A,0,0,0,0,5,5,0,unchanged
I00242,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00243,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00244,Real_Estate,2015,B,B,0,0,0,0,2,2,0,unchanged
I00245,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00246,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00247,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00248,Telecom,2015,A,A,0,0,0,0,5,5,0,unchanged
I00249,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00250,Industrials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00251,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00252,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00253,Telecom,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00254,Real_Estate,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00255,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00256,Telecom,2015,A,A,0,0,0,0,5,5,0,unchanged
I00257,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00258,Real_Estate,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00259,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00260,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00261,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00262,Technology,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00263,Energy,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00264,Telecom,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00265,Real_Estate,2015,B,BBB,1,0,0,-2,2,4,2,upgrade
I00266,Real_Estate,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00267,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00268,Telecom,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00269,Real_Estate,2015,CCC,D,0,0,1,1,1,0,-1,default
I00270,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00271,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00272,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00273,Energy,2015,A,A,0,0,0,0,5,5,0,unchanged
I00274,Consumer,2015,CCC,B,1,0,0,-1,1,2,1,upgrade
I00275,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00276,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00277,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00278,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00279,Financials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00280,Utilities,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00281,Utilities,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00282,Healthcare,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00283,Healthcare,2015,AAA,AA,0,1,0,1,7,6,-1,downgrade
I00284,Healthcare,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00285,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00286,Technology,2015,B,D,0,0,1,2,2,0,-2,default
I00287,Energy,2015,AA,BBB,0,1,0,2,6,4,-2,downgrade
I00288,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00289,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00290,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00291,Energy,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00292,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00293,Industrials,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00294,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00295,Financials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00296,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00297,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00298,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00299,Financials,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00300,Real_Estate,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00301,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00302,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00303,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00304,Financials,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00305,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00306,Telecom,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00307,Energy,2015,CCC,D,0,0,1,1,1,0,-1,default
I00308,Real_Estate,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00309,Energy,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00310,Healthcare,2015,A,A,0,0,0,0,5,5,0,unchanged
I00311,Real_Estate,2015,B,B,0,0,0,0,2,2,0,unchanged
I00312,Technology,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00313,Consumer,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00314,Industrials,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00315,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00316,Technology,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00317,Healthcare,2015,A,D,0,0,1,5,5,0,-5,default
I00318,Energy,2015,B,B,0,0,0,0,2,2,0,unchanged
I00319,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00320,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00321,Healthcare,2015,A,A,0,0,0,0,5,5,0,unchanged
I00322,Technology,2015,B,B,0,0,0,0,2,2,0,unchanged
I00323,Utilities,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00324,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00325,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00326,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00327,Utilities,2015,BBB,A,1,0,0,-1,4,5,1,upgrade
I00328,Real_Estate,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00329,Technology,2015,A,AA,1,0,0,-1,5,6,1,upgrade
I00330,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00331,Utilities,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00332,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00333,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00334,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00335,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00336,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00337,Financials,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00338,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00339,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00340,Real_Estate,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00341,Financials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00342,Technology,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00343,Consumer,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00344,Energy,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00345,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00346,Industrials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00347,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00348,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00349,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00350,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00351,Technology,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00352,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00353,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00354,Healthcare,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00355,Healthcare,2015,B,BB,1,0,0,-1,2,3,1,upgrade
I00356,Healthcare,2015,AA,AA,0,0,0,0,6,6,0,unchanged
I00357,Industrials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00358,Financials,2015,CCC,D,0,0,1,1,1,0,-1,default
I00359,Consumer,2015,A,A,0,0,0,0,5,5,0,unchanged
I00360,Real_Estate,2015,BBB,B,0,1,0,2,4,2,-2,downgrade
I00361,Healthcare,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00362,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00363,Energy,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00364,Telecom,2015,CCC,B,1,0,0,-1,1,2,1,upgrade
I00365,Retail,2015,B,D,0,0,1,2,2,0,-2,default
I00366,Energy,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00367,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00368,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00369,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00370,Utilities,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00371,Technology,2015,A,A,0,0,0,0,5,5,0,unchanged
I00372,Energy,2015,BB,B,0,1,0,1,3,2,-1,downgrade
I00373,Energy,2015,A,A,0,0,0,0,5,5,0,unchanged
I00374,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00375,Retail,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
